id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
tokyo-japanese-steak-house-waterloo,Tokyo Japanese Steak House,['japanese'],42.4690208,-92.3557129,IA,"1227 W 27th St, Cedar Falls, IA 50614",10034.4414768447,4,10,False,Yes,No,Yes,Yes,,,,No,,Yes,Yes,Casual,,Loud,Full Bar,No,No,Yes,,Yes,,,2
red-apple-chinese-restaurant-waterloo,Red Apple Chinese Restaurant,['chinese'],42.4939613,-92.3406601,IA,"1227 W 27th St, Cedar Falls, IA 50614",10135.429756044,4,9,False,,Yes,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,2
art-house-cafe-waterloo,Art House Cafe,"['vegetarian', 'gluten_free']",42.498352,-92.342125,IA,"1227 W 27th St, Cedar Falls, IA 50614",9910.7581843494,5,3,False,,,Yes,,,,,,,,Yes,Casual,,,No,Yes,,No,,,,,1
d-and-k-hickory-house-waterloo,D & K Hickory House,['tradamerican'],42.507309,-92.3422928,IA,"1227 W 27th St, Cedar Falls, IA 50614",9748.888269993,4.5,7,False,Yes,No,Yes,No,,,Private Lot,Yes,,Yes,Yes,Casual,,Average,Full Bar,No,No,No,,Yes,,,2
my-thai-waterloo,My Thai,['thai'],42.4976654,-92.3353806,IA,"1227 W 27th St, Cedar Falls, IA 50614",10484.5119381926,3.5,27,False,No,No,Yes,Yes,,Dinner,Street,,,Yes,No,Casual,Casual,Quiet,No,No,No,No,,Yes,Yes,,2
the-brown-bottle-waterloo,The Brown Bottle,"['pizza', 'italian']",42.4942317,-92.3384991,IA,"1227 W 27th St, Cedar Falls, IA 50614",10301.2069121931,3.5,16,False,Yes,No,Yes,Yes,,Dinner,"Garage, Street",Yes,Yes,No,Yes,Dressy,Touristy,Quiet,Full Bar,No,Free,Yes,No,Yes,,,2
wishbone-waterloo,Wishbone,['newamerican'],42.4849701,-92.3249969,IA,"1227 W 27th St, Cedar Falls, IA 50614",11642.5656824948,4.5,22,False,No,No,Yes,Yes,,,Private Lot,No,,Yes,No,Casual,Casual,Average,Full Bar,No,Free,Yes,,Yes,No,,1
el-patron-waterloo,El Patron,['mexican'],42.4991425127,-92.3349642009,IA,"1227 W 27th St, Cedar Falls, IA 50614",10471.5481428815,4.5,8,False,No,No,No,Yes,,,,,,Yes,Yes,Casual,,,,,,,,,,,
la-michoacana-waterloo-2,La Michoacana,['mexican'],42.4962269515,-92.3264294118,IA,"1227 W 27th St, Cedar Falls, IA 50614",11211.5713182252,5,7,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,,,No,,Yes,,,,,1
sub-city-waterloo,Sub City,"['salad', 'burgers', 'sandwiches']",42.468868187,-92.3564599758,IA,"1227 W 27th St, Cedar Falls, IA 50614",10020.1563799081,4,6,False,No,,Yes,Yes,No,,Private Lot,,,Yes,,Casual,,Average,No,No,No,,No,No,Yes,No,1
other-place-the-waterloo,Other Place the,['pizza'],42.4689789,-92.3523026,IA,"1227 W 27th St, Cedar Falls, IA 50614",10305.6649252844,4.5,2,False,Yes,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,,,,,,,,,1
cabin-coffee-waterloo,Cabin Coffee,"['coffee', 'cafes']",42.4712542,-92.357313,IA,"1227 W 27th St, Cedar Falls, IA 50614",9823.5808749536,3.5,4,False,,,,Yes,,,,,,,,,,,,Yes,Free,,,,,,2
burger-king-waterloo-4,Burger King,['restaurants'],42.4955902,-92.3762665,IA,"1227 W 27th St, Cedar Falls, IA 50614",7278.0737478725,1,1,False,,,,,,,,,,,,,,,,,,,,,,,
chilitos-waterloo,Chilito's,"['mexican', 'bars']",42.4566163774,-92.3477616906,IA,"1227 W 27th St, Cedar Falls, IA 50614",11368.2432460082,4,7,False,Yes,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Quiet,Full Bar,No,Free,Yes,,Yes,,,2
burger-king-waterloo-6,Burger King,"['hotdog', 'burgers']",42.4977417,-92.3451538,IA,"1227 W 27th St, Cedar Falls, IA 50614",9663.529533594,1.5,2,False,No,,Yes,Yes,,,,,,,,,,Average,No,No,,No,,No,,Yes,1
gregs-place-waterloo,Greg's Place,"['newamerican', 'danceclubs', 'karaoke']",42.4770652503,-92.3229083419,IA,"1227 W 27th St, Cedar Falls, IA 50614",12084.0318500328,4.5,10,False,Yes,No,Yes,Yes,,,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,Full Bar,No,Free,Yes,No,Yes,Yes,,1
el-mercadito-waterloo,El Mercadito,['mexican'],42.480865,-92.323698,IA,"1227 W 27th St, Cedar Falls, IA 50614",11887.1314745813,4.5,3,False,No,No,Yes,Yes,,,,,,Yes,,Casual,,Average,Full Bar,Yes,No,No,,Yes,,,2
sub-city-2-waterloo,Sub City 2,['sandwiches'],42.497772,-92.336075,IA,"1227 W 27th St, Cedar Falls, IA 50614",10409.6848058477,4.5,4,False,No,No,Yes,Yes,,Lunch,,No,Yes,Yes,No,Casual,,Quiet,No,No,No,No,,No,Yes,,1
mcdonalds-waterloo-11,McDonald's,"['burgers', 'hotdogs']",42.5309296,-92.3368073,IA,"1227 W 27th St, Cedar Falls, IA 50614",10275.3099602024,4,2,False,No,No,No,Yes,,,,,,Yes,,,,,,,,,,,,,
papa-murphy-waterloo-3,Papa Murphy,['pizza'],42.4692244828,-92.3568858951,IA,"1227 W 27th St, Cedar Falls, IA 50614",9979.3171194334,5,3,False,,,,Yes,,,,,,,,,,,,,,,,,,,
cedar-valley-fish-market-waterloo,Cedar Valley Fish Market,"['restaurants', 'seafoodmarkets']",42.4925385,-92.3225937,IA,"1227 W 27th St, Cedar Falls, IA 50614",11613.1654604647,4.5,4,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,Average,Beer & Wine Only,No,No,Yes,,Yes,No,,1
popeyes-waterloo,Popeye's,['hotdogs'],42.4566917,-92.3488083,IA,"1227 W 27th St, Cedar Falls, IA 50614",11293.7713388175,4.5,6,False,No,No,Yes,Yes,,,,Yes,No,Yes,Yes,Casual,,,,No,,Yes,,,Yes,Yes,1
chapala-waterloo,Chapala,['mexican'],42.4771946669,-92.3229103535,IA,"1227 W 27th St, Cedar Falls, IA 50614",12095.2455551211,3,19,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,Full Bar,No,No,No,,Yes,No,,2
southtown-bar-and-grill-waterloo-2,Southtown Bar & Grill,['tradamerican'],42.4649404,-92.3175449,IA,"1227 W 27th St, Cedar Falls, IA 50614",13033.6404157196,4,16,False,No,No,Yes,Yes,,,Private Lot,No,Yes,Yes,Yes,Casual,,,Full Bar,No,,Yes,No,Yes,,,1
east-china-waterloo,East China,['chinese'],42.5297203,-92.3350372,IA,"1227 W 27th St, Cedar Falls, IA 50614",10347.853848603,4,2,False,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,1
