id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
mekong-delta-cafe-baltimore-3,Mekong Delta Cafe,['vietnamese'],39.2912979,-76.6154099,MD,"3400 North Charles Street, Baltimore, MD 21218",4298.690405644083,4.0,49,False,No,No,Yes,No,,Lunch,"Garage, Street",Yes,,Yes,Yes,Casual,Casual,Quiet,No,No,Free,No,,No,No,,1
aloha-sushi-baltimore,Aloha Sushi,['sushi'],39.3037796,-76.6162643,MD,"3400 North Charles Street, Baltimore, MD 21218",2948.2004419246687,3.5,104,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,No,Yes,Yes,Casual,Casual,Quiet,Full Bar,No,No,Yes,,Yes,,,2
faidley-seafood-baltimore,Faidley Seafood,['seafood'],39.291863,-76.622669,MD,"3400 North Charles Street, Baltimore, MD 21218",4301.681699862917,4.0,548,False,No,No,Yes,Yes,,Lunch,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Divey,Loud,Beer & Wine Only,No,Free,No,,No,No,,2
nam-kang-baltimore,Nam Kang,['korean'],39.314022,-76.618492,MD,"3400 North Charles Street, Baltimore, MD 21218",1836.899664484027,3.5,44,False,No,No,Yes,Yes,,"Dinner, Late Night",Street,Yes,No,Yes,Yes,Casual,,Quiet,Beer & Wine Only,No,No,Yes,,Yes,,,2
swallow-at-the-hollow-baltimore,Swallow At the Hollow,"['newamerican', 'pubs']",39.364857,-76.609718,MD,"3400 North Charles Street, Baltimore, MD 21218",3922.2531560146476,4.0,30,False,No,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,"Divey, Casual",Very Loud,Full Bar,No,Free,Yes,,Yes,No,,1
shoo-fly-baltimore-2,Shoo-Fly,"['newamerican', 'bars']",39.364537,-76.608436,MD,"3400 North Charles Street, Baltimore, MD 21218",3914.666986405933,3.0,164,False,Yes,No,No,Yes,,Dinner,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Hipster,Average,Full Bar,Yes,Free,No,,Yes,Yes,,2
carlyle-cafe-baltimore,Carlyle Cafe,['korean'],39.3372383,-76.624321,MD,"3400 North Charles Street, Baltimore, MD 21218",831.742596164359,3.5,3,False,No,No,,Yes,,,,No,,Yes,No,Casual,,Average,No,No,No,No,,,,,2
beatnik-bar-baltimore,Beatnik Bar,"['bars', 'newamerican']",39.3133251,-76.6178943,MD,"3400 North Charles Street, Baltimore, MD 21218",1918.2374171039353,4.0,8,False,No,No,Yes,Yes,,,,Yes,,No,No,Casual,,,,No,,Yes,,,,,2
indigma-baltimore,Indigma,"['indpak', 'ethnicmarkets']",39.2986978590488,-76.6156522929668,MD,"3400 North Charles Street, Baltimore, MD 21218",3553.3053763424023,3.5,154,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Classy,Quiet,Full Bar,No,No,No,,Yes,Yes,,2
kumari-restaurant-and-bar-baltimore,Kumari Restaurant & Bar,"['indpak', 'himalayan']",39.300109,-76.615478,MD,"3400 North Charles Street, Baltimore, MD 21218",3401.606849346048,4.0,145,False,Yes,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,No,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,Yes,Yes,Yes,,2
midtown-bbq-and-brew-baltimore,Midtown BBQ & Brew,"['southern', 'bbq', 'pubs']",39.2963071061966,-76.6131843637848,MD,"3400 North Charles Street, Baltimore, MD 21218",3847.162104907135,3.5,92,False,Yes,No,Yes,Yes,,"Dinner, Late Night",Street,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,,Yes,No,,2
hopkins-deli-baltimore,Hopkins Deli,"['delis', 'pizza']",39.336853,-76.622955,MD,"3400 North Charles Street, Baltimore, MD 21218",749.7805455101519,3.0,25,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,,No,No,,1
kings-fried-chicken-baltimore,King's Fried Chicken,['chicken_wings'],39.3285904,-76.6096725,MD,"3400 North Charles Street, Baltimore, MD 21218",924.5097675290046,4.5,6,False,No,Yes,Yes,Yes,,Late Night,Street,Yes,,No,Yes,Casual,,Quiet,No,No,,Yes,,No,Yes,,1
poblano-mexican-grill-baltimore,Poblano Mexican Grill,"['mexican', 'hotdogs']",39.3018601834774,-76.6187381744385,MD,"3400 North Charles Street, Baltimore, MD 21218",3181.974079717839,4.0,18,False,No,No,Yes,Yes,,,Garage,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,Yes,No,1
hummingbird-carryout-baltimore,Hummingbird Carryout,['restaurants'],39.3207817,-76.5739975,MD,"3400 North Charles Street, Baltimore, MD 21218",4079.7306627155353,5.0,4,False,No,No,Yes,Yes,,,,Yes,,Yes,No,Casual,,,,No,,Yes,,,,,1
thai-landing-baltimore,Thai Landing,['thai'],39.3036277592182,-76.6160177439451,MD,"3400 North Charles Street, Baltimore, MD 21218",2989.363219763137,3.0,98,False,Yes,Yes,Yes,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Casual,Quiet,Full Bar,No,No,No,,Yes,Yes,,2
orient-express-baltimore,Orient Express,['chinese'],39.326275,-76.61554,MD,"3400 North Charles Street, Baltimore, MD 21218",607.7175453233403,2.5,37,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Divey,Average,No,Yes,,Yes,,No,Yes,,1
tenten-ramen-baltimore,TenTen Ramen,['ramen'],39.2945853747398,-76.6153544449878,MD,"3400 North Charles Street, Baltimore, MD 21218",4013.396943753653,3.5,136,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,No,No,,2
café-poupon-baltimore-6,Café Poupon,"['cafes', 'bakeries', 'desserts']",39.2917632,-76.615137,MD,"3400 North Charles Street, Baltimore, MD 21218",4327.518918659649,4.5,50,False,No,No,Yes,Yes,,Breakfast,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Casual,Quiet,No,Yes,Free,No,,No,Yes,,2
spro-coffee-baltimore,Spro Coffee,"['coffee', 'newamerican']",39.330959,-76.630737,MD,"3400 North Charles Street, Baltimore, MD 21218",921.2586442288664,4.0,123,False,No,No,Yes,Yes,,Breakfast,Street,Yes,No,No,No,Casual,Hipster,Quiet,No,No,No,No,,No,No,,1
aromes-baltimore,Aromes,"['newamerican', 'french']",39.330413,-76.629631,MD,"3400 North Charles Street, Baltimore, MD 21218",824.2462111093703,4.5,11,False,Yes,No,No,Yes,No,,Street,No,No,No,No,Casual,,Average,No,No,No,No,No,Yes,,,4
marie-louise-bistro-baltimore,Marie Louise Bistro,"['tradamerican', 'french', 'mediterranean']",39.299839,-76.616196,MD,"3400 North Charles Street, Baltimore, MD 21218",3424.9337051189655,3.0,153,False,Yes,No,Yes,Yes,,Dessert,Street,Yes,Yes,No,Yes,Casual,Romantic,Average,Full Bar,Yes,No,No,,Yes,Yes,,2
donnas-baltimore-4,Donna's,"['newamerican', 'cafes', 'bars']",39.3560453,-76.6444311,MD,"3400 North Charles Street, Baltimore, MD 21218",3531.053400480594,3.5,42,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,,Yes,Yes,,2
belvedere-bagels-and-grill-baltimore,Belvedere Bagels and Grill,"['breakfast_brunch', 'delis']",39.3013928085566,-76.6158373653889,MD,"3400 North Charles Street, Baltimore, MD 21218",3194.044020838727,4.0,22,False,No,No,Yes,Yes,,Breakfast,Street,Yes,Yes,Yes,No,Casual,Casual,Average,No,Yes,,No,,No,,,1
chow-mein-charlie-baltimore,Chow Mein Charlie,['chinese'],39.3446732,-76.6313477,MD,"3400 North Charles Street, Baltimore, MD 21218",1849.8292563128575,3.5,14,False,No,Yes,Yes,Yes,,,Street,Yes,,No,No,Casual,,Quiet,No,No,No,No,,No,,,1
cazbar-baltimore,Cazbar,"['turkish', 'mediterranean']",39.293018,-76.615601,MD,"3400 North Charles Street, Baltimore, MD 21218",4184.708318473624,4.0,228,False,Yes,Yes,Yes,Yes,,Dinner,"Valet, Street",No,Yes,No,Yes,Casual,Romantic,Average,Full Bar,No,No,No,,Yes,Yes,,2
turps-sports-bar-and-restaurant-baltimore,Turp's Sports Bar & Restaurant,"['tradamerican', 'sportsbars', 'burgers']",39.3050184845924,-76.6161344200373,MD,"3400 North Charles Street, Baltimore, MD 21218",2848.4593729183493,3.5,75,False,No,Yes,Yes,Yes,,"Lunch, Dinner, Late Night",Street,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,,Yes,Yes,No,2
mamma-lucia-the-italian-eatery-baltimore,Mamma Lucia The Italian Eatery,['italian'],39.3281283974648,-76.6094885766506,MD,"3400 North Charles Street, Baltimore, MD 21218",948.2082275510493,3.0,6,False,No,No,Yes,Yes,,Lunch,Street,,Yes,Yes,Yes,Casual,Divey,Loud,No,No,No,Yes,,No,,,1
trinacria-cafe-catering-baltimore,Trinacria Cafe Catering,['italian'],39.296314,-76.618012,MD,"3400 North Charles Street, Baltimore, MD 21218",3804.8591667733876,4.0,19,False,No,Yes,Yes,Yes,,Lunch,Street,No,,Yes,Yes,Casual,Casual,Quiet,No,No,No,Yes,,No,Yes,,1
the-corner-bistro-and-wine-bar-baltimore,The Corner Bistro and Wine Bar,"['newamerican', 'wine_bars']",39.285576,-76.625679,MD,"3400 North Charles Street, Baltimore, MD 21218",5017.160677766832,4.5,75,False,Yes,No,Yes,Yes,,Dinner,Street,No,,No,No,Casual,Intimate,Average,Beer & Wine Only,Yes,No,Yes,,Yes,Yes,,2
ejji-ramen-baltimore,Ejji Ramen,['ramen'],39.3641001731157,-76.6095066815615,MD,"3400 North Charles Street, Baltimore, MD 21218",3880.351134447104,3.5,67,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,No,No,No,,Yes,No,,2
