id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
top-hat-missoula-2,Top Hat,"['bars', 'tapasmallplates', 'musicvenues']",46.8705892,-113.9962439,MT,"32 Campus Dr, Missoula, MT 59812",1337.91301252536,4.0,31,False,No,No,No,Yes,,Late Night,Street,Yes,,No,Yes,Casual,Casual,Average,Full Bar,Yes,Paid,No,,Yes,No,,2
the-shack-missoula,The Shack,['breakfast_brunch'],46.8717983365059,-113.996557965875,MT,"32 Campus Dr, Missoula, MT 59812",1470.4237910279462,3.5,65,False,Yes,No,Yes,Yes,,Breakfast,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,,No,,Yes,Yes,,2
docs-gourmet-sandwich-express-missoula,Doc's Gourmet Sandwich Express,['sandwiches'],46.8713765591383,-113.99444103241,MT,"32 Campus Dr, Missoula, MT 59812",1332.2734493356686,4.0,16,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,,Yes,,No,,,,,1
el-diablo-missoula,El Diablo,['mexican'],46.8576088,-113.9975739,MT,"32 Campus Dr, Missoula, MT 59812",1076.6589528059128,4.0,40,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,,No,,,1
iza-restaurant-missoula,Iza Restaurant,['asianfusion'],46.8661690503359,-113.997541666031,MT,"32 Campus Dr, Missoula, MT 59812",1100.0106265034979,3.5,58,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,No,Casual,Trendy,Average,Beer & Wine Only,Yes,No,No,,Yes,Yes,,2
good-food-store-missoula-2,Good Food Store,"['grocery', 'healthmarkets', 'gluten_free']",46.867458,-114.020339,MT,"32 Campus Dr, Missoula, MT 59812",2772.9863111554573,4.0,51,False,No,No,Yes,Yes,,Brunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Trendy,Average,Beer & Wine Only,Yes,No,No,,No,Yes,,2
lisas-pasty-pantry-missoula,Lisa's Pasty Pantry,"['burgers', 'sandwiches']",46.850006,-114.028694,MT,"32 Campus Dr, Missoula, MT 59812",3562.6441054177717,5.0,19,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,Casual,Quiet,No,No,Free,No,,Yes,Yes,No,1
catalyst-espresso-missoula,Catalyst Espresso,"['coffee', 'breakfast_brunch']",46.8703804,-113.9954224,MT,"32 Campus Dr, Missoula, MT 59812",1279.6386209382617,4.5,49,False,No,No,Yes,Yes,,Brunch,Street,Yes,Yes,Yes,Yes,Casual,,Average,No,Yes,No,No,,Yes,,,2
vietnam-grill-missoula,Vietnam Grill,['vietnamese'],46.873352,-113.992752,MT,"32 Campus Dr, Missoula, MT 59812",1458.1115203401444,4.0,28,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Quiet,No,No,No,No,,Yes,No,,1
el-cazador-missoula,El Cazador,['mexican'],46.8699799,-113.9957581,MT,"32 Campus Dr, Missoula, MT 59812",1252.0132282978534,3.5,55,False,No,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,Yes,Yes,,2
the-buttercup-market-and-cafe-missoula,The Buttercup Market & Cafe,"['bakeries', 'coffee', 'breakfast_brunch']",46.8592606,-113.9910278,MT,"32 Campus Dr, Missoula, MT 59812",511.31973074263624,4.0,10,False,No,No,Yes,Yes,,,Street,,Yes,Yes,Yes,Casual,,,,,,,,,,,1
the-old-post-missoula,The Old Post,"['pubs', 'newamerican']",46.8740748614073,-113.993063047528,MT,"32 Campus Dr, Missoula, MT 59812",1556.4082675047032,3.5,41,False,No,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,,Yes,,Yes,No,,2
ciao-mambo-missoula,Ciao Mambo,['italian'],46.8661613464355,-113.99779510498,MT,"32 Campus Dr, Missoula, MT 59812",1114.7241097164706,3.5,52,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Classy,Average,Beer & Wine Only,Yes,Free,No,,Yes,No,,2
black-cat-bake-shop-missoula,Black Cat Bake Shop,"['bakeries', 'breakfast_brunch', 'gluten_free']",46.8829498,-114.0224915,MT,"32 Campus Dr, Missoula, MT 59812",3727.7426476764995,5.0,30,False,No,No,Yes,Yes,,,Private Lot,Yes,,Yes,No,Casual,,Quiet,No,Yes,Free,No,,No,Yes,,2
taco-sano-missoula,Taco Sano,['mexican'],46.8659323453903,-113.997827991843,MT,"32 Campus Dr, Missoula, MT 59812",1126.2788812420738,3.5,19,False,No,Yes,Yes,Yes,,Lunch,Street,,,Yes,Yes,Casual,Casual,Average,No,No,,No,,No,No,,1
cafe-zydeco-missoula-2,Cafe Zydeco,['cajun'],46.8514404,-114.0146027,MT,"32 Campus Dr, Missoula, MT 59812",2510.4801022312427,4.0,28,False,No,Yes,Yes,Yes,,,Private Lot,Yes,,No,Yes,Casual,,Average,No,Yes,No,No,,No,,,2
pauls-pancake-parlor-missoula,Paul's Pancake Parlor,"['breakfast_brunch', 'burgers']",46.8495674,-114.0171509,MT,"32 Campus Dr, Missoula, MT 59812",2804.969700258378,4.0,50,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,,Yes,Yes,Casual,Divey,Very Loud,No,No,No,No,,Yes,No,No,2
mackenzie-river-pizza-co-missoula-2,MacKenzie River Pizza Co.,"['pizza', 'tradamerican']",46.870331,-113.996445,MT,"32 Campus Dr, Missoula, MT 59812",1322.5899199246248,3.5,22,False,No,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,Yes,No,No,No,Yes,No,,2
asahi-missoula,Asahi,"['japanese', 'sushi', 'chinese']",46.8530312,-114.0133133,MT,"32 Campus Dr, Missoula, MT 59812",2351.3770527694546,3.5,25,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,No,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,Yes,No,,2
the-walking-moustache-missoula-2,The Walking Moustache,"['cafes', 'burgers', 'sandwiches']",46.8718106420848,-113.99623026402,MT,"32 Campus Dr, Missoula, MT 59812",1443.786026654607,3.5,36,False,Yes,Yes,Yes,Yes,,,"Garage, Street, Validated",Yes,Yes,Yes,,Casual,,,Beer & Wine Only,Yes,Free,Yes,No,Yes,Yes,No,1
depot-bar-and-restaurant-missoula,Depot Bar & Restaurant,"['seafood', 'steak']",46.875912,-113.993736,MT,"32 Campus Dr, Missoula, MT 59812",1748.6408622635602,3.5,42,False,Yes,No,No,Yes,,Dinner,Street,No,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
staggering-ox-sandwiches-missoula,Staggering Ox Sandwiches,['sandwiches'],46.8344464,-114.0161222,MT,"32 Campus Dr, Missoula, MT 59812",3822.7643439178464,3.5,28,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,No,Yes,,No,,No,Yes,,1
the-empanada-joint-missoula,The Empanada Joint,['latin'],46.8707085,-113.9940567,MT,"32 Campus Dr, Missoula, MT 59812",1248.1972384738958,4.5,11,False,No,,Yes,Yes,,,Street,Yes,,Yes,Yes,Casual,,Quiet,No,No,Free,No,,,,,1
finn-and-porter-missoula,Finn and Porter,"['newamerican', 'breakfast_brunch']",46.870402,-113.985586,MT,"32 Campus Dr, Missoula, MT 59812",1003.4631587159646,3.0,39,False,Yes,No,No,Yes,,Breakfast,Private Lot,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,Yes,,3
vietnam-noodle-restaurant-missoula,Vietnam Noodle Restaurant,['vietnamese'],46.8514099,-114.0124283,MT,"32 Campus Dr, Missoula, MT 59812",2375.1355445185086,3.5,34,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,No,No,No,No,,Yes,No,,1
sa-wad-dee-missoula,Sa Wad Dee,['thai'],46.872612,-113.996559,MT,"32 Campus Dr, Missoula, MT 59812",1530.473291964608,3.5,51,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,Yes,Yes,,2
pita-pit-missoula,Pita Pit,"['mideastern', 'sandwiches']",46.8708,-113.9945526,MT,"32 Campus Dr, Missoula, MT 59812",1272.6492490558674,3.0,16,False,No,Yes,Yes,Yes,,,Street,Yes,No,Yes,Yes,Casual,,Average,No,No,No,No,,No,Yes,,1
wordens-market-deli-missoula,Worden's Market Deli,['delis'],46.8739815,-113.9933167,MT,"32 Campus Dr, Missoula, MT 59812",1538.8721649725221,4.0,28,False,No,No,Yes,Yes,,Lunch,Street,No,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,No,Free,No,,No,No,,1
five-guys-burgers-and-fries-missoula,Five Guys Burgers and Fries,"['hotdogs', 'newamerican', 'tradamerican']",46.869356,-113.982979,MT,"32 Campus Dr, Missoula, MT 59812",897.7721752461943,3.5,25,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,No,No,1
broadway-bar-and-grill-missoula-4,Broadway Bar & Grill,"['restaurants', 'sportsbars']",46.879505,-114.022026,MT,"32 Campus Dr, Missoula, MT 59812",3473.580631571487,4.0,4,False,No,No,Yes,Yes,,,Private Lot,Yes,Yes,No,Yes,Casual,,,Full Bar,Yes,Free,Yes,,Yes,,,1
mmmm-waffles-missoula-2,Mmmm...Waffles,"['breakfast_brunch', 'foodstands']",46.8585166931152,-114.012397766113,MT,"32 Campus Dr, Missoula, MT 59812",1270.4178322983712,4.5,4,False,,,,No,,,,,,,,,,,,,,,,,,,
