id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
mateo-durham,Mateo,['tapas'],35.996719,-78.904807,NC,"2138 Campus Dr, Durham, NC 27708",2579.788936135361,4.0,235,False,Yes,No,No,Yes,,Dinner,Street,Yes,,No,Yes,Casual,Trendy,Loud,Full Bar,No,No,No,,Yes,No,,2
elmos-diner-durham,Elmo's Diner,"['diners', 'breakfast_brunch']",36.0105019,-78.9216385,NC,"2138 Campus Dr, Durham, NC 27708",1607.266038997323,3.5,239,False,No,No,Yes,Yes,,"Breakfast, Brunch",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,Yes,Yes,,1
pizzeria-toro-durham,Pizzeria Toro,"['italian', 'pizza']",35.9969850629568,-78.9036376029253,NC,"2138 Campus Dr, Durham, NC 27708",2682.142150243401,4.5,214,False,No,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Loud,Full Bar,No,No,No,,Yes,No,,2
blu-seafood-and-bar-durham-2,Blu Seafood & Bar,['seafood'],36.0101967,-78.9221344,NC,"2138 Campus Dr, Durham, NC 27708",1542.3271261318603,4.0,155,False,Yes,No,Yes,Yes,,Dinner,"Street, Private Lot",No,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,No,,Yes,No,,2
dames-chicken-and-waffles-durham,Dame's Chicken & Waffles,['newamerican'],35.996307,-78.903374,NC,"2138 Campus Dr, Durham, NC 27708",2714.008121405347,4.0,493,False,Yes,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,No,,Yes,Yes,,2
metro-8-durham,Metro 8,['steak'],36.0093560814857,-78.9219865947962,NC,"2138 Campus Dr, Durham, NC 27708",1474.1176325029514,4.0,71,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Classy,Average,Full Bar,Yes,Free,No,,Yes,No,,3
bull-city-burger-and-brewery-durham,Bull City Burger and Brewery,"['breweries', 'burgers', 'newamerican']",35.9954810142517,-78.8999663293362,NC,"2138 Campus Dr, Durham, NC 27708",3033.436042476805,4.0,460,False,No,No,Yes,Yes,,Lunch,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,Free,No,Yes,No,No,No,2
bar-virgile-durham,Bar Virgile,"['bars', 'tapasmallplates']",35.9946709,-78.9007263,NC,"2138 Campus Dr, Durham, NC 27708",2977.172977588141,4.5,29,False,No,No,No,Yes,,Late Night,,Yes,,No,No,Casual,Intimate,Average,Full Bar,No,No,No,,Yes,No,,2
smashburger-durham-2,Smashburger,['burgers'],36.0092684,-78.9448144,NC,"2138 Campus Dr, Durham, NC 27708",1483.8073673492352,3.5,42,False,No,No,Yes,Yes,No,Lunch,"Garage, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,No,No,Yes,No,1
baba-ghannouj-durham,Baba Ghannouj,"['greek', 'mediterranean', 'ethnicmarkets']",36.0079384,-78.9264984,NC,"2138 Campus Dr, Durham, NC 27708",1037.209303909481,3.5,37,False,No,Yes,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,Yes,Free,Yes,,Yes,Yes,,1
