id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
fortune-house-lafayette,Fortune House,"['japanese', 'buffets', 'chinese']",40.3997825789017,-86.8549836216932,IN,"610 Purdue Mall, West Lafayette, IN 47907",5942.501176056673,3.5,20,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,,,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,Yes,No,,1
restauration-lafayette,Restauration,['newamerican'],40.418956,-86.887901,IN,"610 Purdue Mall, West Lafayette, IN 47907",2468.949301450223,2.5,3,False,,,,Yes,,,,,,,Yes,,,,,,,,,,,,2
burger-king-west-lafayette-2,Burger King,['burgers'],40.453018,-86.921463,IN,"610 Purdue Mall, West Lafayette, IN 47907",2846.789066096912,1.0,2,False,No,No,Yes,Yes,,,,No,,Yes,Yes,Casual,,,,,,Yes,,,,Yes,1
dominos-pizza-west-lafayette-2,Domino's Pizza,"['pizza', 'chicken_wings', 'sandwiches']",40.4643905907869,-86.9344476610422,IN,"610 Purdue Mall, West Lafayette, IN 47907",4403.391733834562,3.0,2,False,No,Yes,Yes,Yes,,,,No,,Yes,Yes,Casual,,Loud,No,No,,Yes,,Yes,No,,1
dq-grill-and-chill-restaurant-west-lafayette,DQ GRILL & CHILL RESTAURANT,['tradamerican'],40.423168,-86.907859,IN,"610 Purdue Mall, West Lafayette, IN 47907",760.1072272552129,3.5,2,False,No,No,Yes,Yes,,Dessert,,,,Yes,Yes,Casual,,Average,No,No,,No,,No,No,,1
kfc-lafayette-8,KFC,"['hotdogs', 'chicken_wings']",40.417397,-86.883188,IN,"610 Purdue Mall, West Lafayette, IN 47907",2903.8007554637375,3.0,2,False,No,No,,,,,,,,,,,,,,,Free,,,,Yes,,
huhot-mongolian-grill-lafayette-2,HuHot Mongolian Grill,['mongolian'],40.4170189,-86.8407669,IN,"610 Purdue Mall, West Lafayette, IN 47907",6205.827078314082,3.0,20,False,No,No,No,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Trendy,Loud,Beer & Wine Only,No,No,Yes,,Yes,No,,2
pizza-king-west-west-lafayette-3,Pizza King West,['pizza'],40.454044,-86.915352,IN,"610 Purdue Mall, West Lafayette, IN 47907",2871.990418445912,1.0,1,False,Yes,No,No,No,,,"Valet, Street",,No,Yes,Yes,Casual,,Quiet,Full Bar,Yes,Paid,Yes,Yes,Yes,Yes,,1
mountain-jacks-lafayette,Mountain Jack's,"['steak', 'seafood', 'tradamerican']",40.418593,-86.82704,IN,"610 Purdue Mall, West Lafayette, IN 47907",7471.746657265019,4.0,42,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,Yes,Yes,Yes,Casual,Intimate,Quiet,Full Bar,No,No,Yes,,Yes,Yes,,2
la-bamba-lafayette,La Bamba,['mexican'],40.396534,-86.857086,IN,"610 Purdue Mall, West Lafayette, IN 47907",5997.934286242149,4.5,2,False,No,No,Yes,Yes,,,,,No,Yes,Yes,Casual,,Average,No,No,No,No,,No,No,,1
subway-west-lafayette,Subway,"['sandwiches', 'hotdogs']",40.425529,-86.929672,IN,"610 Purdue Mall, West Lafayette, IN 47907",1337.232640918278,3.5,2,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,,,No,,,,,,,1
subway-lafayette-26,Subway,"['sandwiches', 'hotdogs']",40.4534384608269,-86.9192811101675,IN,"610 Purdue Mall, West Lafayette, IN 47907",2848.5092225267304,5.0,1,False,,,,,,,,,,,,,,,,,,,,,,,
arnis-lafayette-7,Arni's,['pizza'],40.430569,-86.871704,IN,"610 Purdue Mall, West Lafayette, IN 47907",3536.0166470382787,4.0,6,False,No,Yes,Yes,Yes,,,,,,Yes,Yes,Casual,,Average,Beer & Wine Only,No,,Yes,,Yes,,,2
pizza-hut-lafayette-15,Pizza Hut,"['pizza', 'italian', 'chicken_wings']",40.3874397,-86.9029999,IN,"610 Purdue Mall, West Lafayette, IN 47907",4643.660352443095,3.5,3,False,No,Yes,Yes,Yes,,,,,,Yes,No,Casual,,Average,No,No,No,No,,No,No,,2
mount-fuji-steakhouse-lafayette,Mount Fuji Steakhouse,['restaurants'],40.409824,-86.858307,IN,"610 Purdue Mall, West Lafayette, IN 47907",5171.050613928322,4.0,4,False,,,,,,,,,,Yes,Yes,Casual,,,,,,,,,,,2
vuz-lounge-west-lafayette,Vuz Lounge,"['korean', 'lounges']",40.4667015,-86.9548111,IN,"610 Purdue Mall, West Lafayette, IN 47907",5425.194069864361,4.0,2,False,,,,Yes,,,,,,No,Yes,Casual,,Average,Beer & Wine Only,No,,,,Yes,,,2
