id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
pieology-pizzeria-berkeley,Pieology Pizzeria,['pizza'],37.8656583,-122.2585762,CA,"103 Sproul hall Berkeley, CA 94720",428.30051709466375,4.0,235,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,No,,1
great-china-berkeley,Great China,['chinese'],37.8676818865786,-122.26615783488,CA,"103 Sproul hall Berkeley, CA 94720",678.8290232449522,4.0,1107,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,No,No,No,,Yes,Yes,,2
dot-island-grill-berkeley,Dot Island Grill,"['seafood', 'hawaiian']",37.8676966,-122.2599958,CA,"103 Sproul hall Berkeley, CA 94720",227.905616333639,4.0,107,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,No,,Yes,Yes,,1
venus-restaurant-berkeley,Venus Restaurant,"['newamerican', 'breakfast_brunch']",37.867084,-122.267344,CA,"103 Sproul hall Berkeley, CA 94720",798.7194960159098,4.0,983,False,Yes,No,Yes,Yes,,Brunch,Street,Yes,Yes,Yes,No,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,No,,2
imm-thai-street-food-berkeley,Imm Thai Street Food,['thai'],37.8719275880523,-122.269052362604,CA,"103 Sproul hall Berkeley, CA 94720",941.1593193315937,4.0,151,False,Yes,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Hipster,Average,Beer & Wine Only,No,Free,Yes,,Yes,No,,1
joshu-ya-brasserie-berkeley-4,Joshu-Ya Brasserie,"['sushi', 'seafood', 'tapas']",37.8650643,-122.2590903,CA,"103 Sproul hall Berkeley, CA 94720",494.74307389313753,4.0,712,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,,Yes,Yes,,2
gregoire-berkeley,Grégoire,"['french', 'breakfast_brunch', 'sandwiches']",37.878695,-122.268545,CA,"103 Sproul hall Berkeley, CA 94720",1333.6959163802824,4.0,1723,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,No,Casual,Casual,Average,No,Yes,No,No,,No,Yes,,2
la-note-restaurant-provençal-berkeley-4,La Note Restaurant Provençal,"['french', 'breakfast_brunch']",37.866186350584,-122.267410978675,CA,"103 Sproul hall Berkeley, CA 94720",837.6609141127162,4.0,2279,False,Yes,No,Yes,Yes,,"Breakfast, Brunch",Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,,Yes,No,,2
suya-african-caribbean-grill-berkeley-2,Suya African Caribbean Grill,"['african', 'caribbean']",37.8703432,-122.2658798,CA,"103 Sproul hall Berkeley, CA 94720",630.2725329727592,4.0,270,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,No,Yes,,1
platano-berkeley,Platano,['latin'],37.871643,-122.269615,CA,"103 Sproul hall Berkeley, CA 94720",997.0591610106321,4.0,625,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,,Yes,Yes,,2
le-petit-cochon-french-cafe-and-boutique-berkeley,Le Petit Cochon French Cafe and Boutique,"['salad', 'pizza', 'sandwiches']",37.8745322,-122.2684983,CA,"103 Sproul hall Berkeley, CA 94720",1019.90127562862,4.5,80,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,No,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,,No,Yes,,2
