id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
food-factory-college-park-2,Food Factory,"['afghani', 'indpak', 'pakistani']",38.9914252,-76.9336447,MD,"University of Maryland College Park, 20740",668.0568907856,3.5,NA,64,False,Yes,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,No,No,Yes,,1
noodles-and-company-college-park-2,Noodles & Company,"['italian', 'asianfusion', 'comfortfood']",38.9798393,-76.9381256,MD,"University of Maryland College Park, 20740",694.8963519575,3.5,NA,46,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,,No,No,,1
platos-diner-college-park,Plato's Diner,"['diners', 'greek', 'tradamerican']",38.9778741449,-76.9380477816,MD,"University of Maryland College Park, 20740",942.2862417319,3,NA,145,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,Yes,No,,2
el-catrachito-silver-spring,El Catrachito,['spanish'],39.0413704,-77.0507965,MD,"University of Maryland College Park, 20740",670.7948004838,4.5,3.5,7,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,No,No,Yes,,Yes,,,1
jasons-deli-college-park,Jason's Deli,['delis'],38.9803639054,-76.9380437583,MD,"University of Maryland College Park, 20740",597.8302273428,3.5,NA,65,False,No,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,,No,Yes,,2
shanghai-tokyo-cafe-college-park,Shanghai Tokyo Cafe,"['sushi', 'chinese', 'thai']",38.992541,-76.933663,MD,"University of Maryland College Park, 20740",778.8646495416,3,4,61,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,No,Yes,,2
sweetgreen-college-park,Sweetgreen,"['vegetarian', 'icecream', 'newamerican']",38.992542,-76.933662,MD,"University of Maryland College Park, 20740",778.8646495416,3.5,NA,39,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,No,,2
wasabi-bistro-college-park,Wasabi Bistro,"['sushi', 'japanese']",38.9818764,-76.9373779,MD,"University of Maryland College Park, 20740",479.1099004536,3.5,4,64,False,No,Yes,Yes,Yes,,Lunch,Street,No,Yes,Yes,Yes,Casual,Casual,Quiet,No,No,No,Yes,,No,No,,2
slices-pizza-co-college-park,Slices Pizza Co.,"['salad', 'pizza', 'italian']",38.979897,-76.937607,MD,"University of Maryland College Park, 20740",692.9005287277,3.5,3,39,False,No,Yes,Yes,Yes,,Dinner,,Yes,,Yes,Yes,Casual,Casual,Loud,No,No,Free,Yes,,No,Yes,,1
bagel-place-of-college-park-college-park,Bagel Place of College Park,"['bagels', 'delis', 'coffee']",38.9816246,-76.9376984,MD,"University of Maryland College Park, 20740",472.890068344,4,NA,135,False,No,No,Yes,Yes,,Breakfast,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,Yes,,No,Yes,,1
shanghai-cafe-chinese-restaurant-college-park,Shanghai Cafe Chinese Restaurant,['chinese'],38.9811821,-76.9376984,MD,"University of Maryland College Park, 20740",555.8249858674,3,4,41,False,No,Yes,Yes,Yes,,"Lunch, Dinner, Late Night",Street,Yes,Yes,Yes,Yes,Casual,"Divey, Casual",Quiet,No,No,No,No,,No,No,,1
ivy-noodles-college-park,Ivy Noodles,"['chinese', 'asianfusion']",38.979897,-76.937607,MD,"University of Maryland College Park, 20740",692.9005287277,3,3,56,False,Yes,Yes,Yes,Yes,,Lunch,Street,Yes,No,No,No,Casual,Casual,Average,No,No,Free,Yes,,Yes,Yes,,1
chipotle-mexican-grill-college-park,Chipotle Mexican Grill,"['mexican', 'hotdogs']",38.980069533,-76.9380444288,MD,"University of Maryland College Park, 20740",659.5157539444,3,NA,38,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,No,No,No,,No,Yes,No,1
kangnam-bbq-sports-bar-and-grill-college-park,Kangnam BBQ Sports Bar & Grill,"['korean', 'bbq', 'sportsbars']",38.994812,-76.931832,MD,"University of Maryland College Park, 20740",1074.6700672515,3,3,54,False,Yes,No,Yes,Yes,,"Dinner, Late Night",Private Lot,Yes,,Yes,Yes,Casual,"Hipster, Casual",Loud,Full Bar,No,Free,Yes,,Yes,Yes,,2
clucksters-college-park,Cluckster's,"['chicken_wings', 'sandwiches']",38.9815235379,-76.9374942407,MD,"University of Maryland College Park, 20740",513.1377249763,3,3.5,27,False,No,Yes,Yes,Yes,,"Lunch, Late Night",Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,,No,Yes,,1
jimmy-johns-college-park,Jimmy John's,['sandwiches'],38.981232,-76.93824,MD,"University of Maryland College Park, 20740",542.0965677432,4,3.5,29,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,Yes,,1
the-common-hyattsville,The Common,"['newamerican', 'pubs']",38.9871401,-76.9542656,MD,"University of Maryland College Park, 20740",1469.6409053675,3.5,NA,17,False,Yes,No,Yes,Yes,,,,No,,No,Yes,Casual,,Quiet,Full Bar,Yes,,Yes,,Yes,,,2
terrapins-turf-college-park,Terrapins Turf,"['bars', 'tradamerican']",38.981014,-76.938316,MD,"University of Maryland College Park, 20740",582.9225877009,3.5,NA,13,False,,,Yes,Yes,,,Street,No,Yes,No,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,No,Yes,Yes,,2
college-park-diner-college-park,College Park Diner,['diners'],39.00635,-76.93024,MD,"University of Maryland College Park, 20740",2329.2697134206,4,3.5,100,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,Yes,Yes,No,Casual,Casual,Average,No,No,No,No,,Yes,No,,1
cornerstone-grill-and-loft-college-park,Cornerstone Grill & Loft,"['sportsbars', 'tradamerican']",38.9786953973,-76.9377451614,MD,"University of Maryland College Park, 20740",828.2186308807,3,3,57,False,No,No,Yes,Yes,,Late Night,Street,Yes,Yes,No,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,,Yes,No,,2
sakura-seafood-and-supreme-buffet-college-park,Sakura Seafood and Supreme Buffet,"['buffets', 'seafood']",39.000854,-76.930198,MD,"University of Maryland College Park, 20740",1737.2762891597,3,3.5,97,False,No,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,Casual,Loud,No,No,No,No,,Yes,No,,2
the-jerk-pit-college-park,The Jerk Pit,"['caribbean', 'musicvenues']",39.002736,-76.931274,MD,"University of Maryland College Park, 20740",1918.1439550991,3.5,3,108,False,Yes,Yes,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,No,Yes,,2
pizza-kingdom-college-park,Pizza Kingdom,['pizza'],38.9820668,-76.938127,MD,"University of Maryland College Park, 20740",457.9480702994,3,NA,21,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,No,No,Yes,,Yes,Yes,,1
bonchon-hyattsville-7,Bonchon,"['korean', 'chicken_wings']",38.9683972299,-76.9520790875,MD,"University of Maryland College Park, 20740",2307.7926630834,3.5,NA,45,False,No,No,Yes,Yes,,Lunch,Garage,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,Yes,,2
carolina-kitchen-bar-and-grill-hyattsville,Carolina Kitchen Bar & Grill,"['soulfood', 'bars', 'cajun']",38.9684146758,-76.9519687774,MD,"University of Maryland College Park, 20740",2342.733875912,3.5,NA,210,False,Yes,No,Yes,Yes,,Dinner,Garage,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,Yes,,2
