id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
oh-my-gogi-truck-houston,Oh My Gogi! Truck,"['korean', 'asianfusion', 'foodtrucks']",29.71628,-95.41465,TX,"6100 Main St, Houston, TX 77005",1812.7373017185,4,291,False,No,No,Yes,Yes,,Late Night,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,Yes,No,No,,1
yo-yos-hot-dogs-houston,Yo Yo's Hot Dogs,"['foodtrucks', 'hotdog']",29.715869,-95.414643,TX,"6100 Main St, Houston, TX 77005",1822.3561481087,5,34,False,No,No,Yes,Yes,,,Garage,Yes,,Yes,Yes,Casual,,Average,No,No,No,No,,No,No,,1
bcn-taste-and-tradition-houston,BCN Taste & Tradition,"['catalan', 'spanish']",29.7349309,-95.390075,TX,"6100 Main St, Houston, TX 77005",1760.4473561912,4,52,False,Yes,No,No,Yes,,Dinner,Valet,No,,No,Yes,Dressy,Intimate,Average,Full Bar,No,No,No,,Yes,Yes,,3
number-1-chicken-rice-and-seafood-houston,Number 1 Chicken Rice & Seafood,"['chinese', 'burgers', 'chicken_wings']",29.7279606,-95.3767319,TX,"6100 Main St, Houston, TX 77005",2091.3051505266,4,64,False,No,No,Yes,No,,Lunch,Private Lot,Yes,Yes,No,No,Casual,Divey,Average,No,No,No,No,,No,No,No,1
gyro-king-houston,Gyro King,"['foodtrucks', 'juicebars', 'halal']",29.69833,-95.387672,TX,"6100 Main St, Houston, TX 77005",2552.1177604241,4,80,False,No,Yes,Yes,Yes,,"Lunch, Dinner, Late Night",Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,,No,No,,1
antica-osteria-houston,Antica Osteria,['italian'],29.725282,-95.413276,TX,"6100 Main St, Houston, TX 77005",1731.0810072387,4,150,False,Yes,No,Yes,Yes,,Dinner,Valet,No,Yes,No,Yes,Dressy,"Intimate, Romantic",Average,Full Bar,Yes,No,No,,Yes,Yes,,3
luna-pizzeria-houston,Luna Pizzeria,"['pizza', 'salad', 'sandwiches']",29.7350980889,-95.4177527502,TX,"6100 Main St, Houston, TX 77005",2652.4344760023,4.5,321,False,No,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,,No,Yes,,1
black-hole-coffee-house-houston,Black Hole Coffee House,"['tradamerican', 'coffee', 'breakfast_brunch']",29.732502,-95.394977,TX,"6100 Main St, Houston, TX 77005",1387.6624181723,4,376,False,No,No,Yes,Yes,,"Breakfast, Dessert",Private Lot,Yes,Yes,No,Yes,Casual,Hipster,Average,Beer & Wine Only,Yes,Free,No,,No,No,,1
davis-st-at-hermann-park-houston-5,Davis St at Hermann Park,['newamerican'],29.714931,-95.38083,TX,"6100 Main St, Houston, TX 77005",1609.736832784,3.5,42,False,Yes,Yes,Yes,Yes,No,"Brunch, Dinner, Dessert","Valet, Street, Private Lot",Yes,Yes,No,Yes,Dressy,Classy,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2
eatsie-boys-cafe-houston-2,Eatsie Boys Cafe,"['sandwiches', 'cafes']",29.7355003,-95.3915405,TX,"6100 Main St, Houston, TX 77005",1802.2693528948,3.5,173,False,No,No,Yes,Yes,,Lunch,"Garage, Street, Private Lot, Validated",Yes,Yes,Yes,Yes,Casual,Hipster,Average,No,Yes,Free,No,Yes,No,Yes,,2
café-rabelais-houston-2,Café Rabelais,"['french', 'brasseries']",29.7167892,-95.4158401,TX,"6100 Main St, Houston, TX 77005",1895.6070822484,4,190,False,No,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,No,Casual,Romantic,Average,Beer & Wine Only,Yes,No,No,,Yes,No,,2
the-ginger-man-houston,The Ginger Man,"['beergardens', 'gastropubs']",29.715869,-95.414642,TX,"6100 Main St, Houston, TX 77005",1822.3561481087,4,262,False,No,No,No,Yes,,Late Night,Street,Yes,No,No,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,Yes,No,,2
coppa-osteria-houston,Coppa Osteria,['italian'],29.7189381,-95.4149874,TX,"6100 Main St, Houston, TX 77005",1798.7961935897,3.5,164,False,Yes,No,Yes,Yes,,Dinner,"Valet, Street",Yes,,Yes,Yes,Casual,Trendy,Average,Full Bar,Yes,No,No,,Yes,Yes,,2
the-breakfast-klub-houston-2,the breakfast klub,"['breakfast_brunch', 'southern']",29.7387638,-95.3804092,TX,"6100 Main St, Houston, TX 77005",2560.825043051,4,1674,False,No,No,Yes,Yes,,Breakfast,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,,No,Yes,,2
reggae-hut-houston,Reggae Hut,['caribbean'],29.7264271,-95.3776398,TX,"6100 Main St, Houston, TX 77005",1941.3048719308,4,174,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,Yes,,No,Yes,,2
pauls-kitchen-houston,Paul's Kitchen,['newamerican'],29.732239,-95.417705,TX,"6100 Main St, Houston, TX 77005",2460.9197797017,4,85,False,Yes,No,Yes,Yes,No,Dessert,Valet,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,Yes,Yes,Yes,,3
the-lexington-grille-houston,The Lexington Grille,['tradamerican'],29.731447,-95.409851,TX,"6100 Main St, Houston, TX 77005",1811.7365920547,4,43,False,Yes,No,No,Yes,,Dinner,Valet,No,Yes,No,Yes,Dressy,Intimate,Quiet,Full Bar,Yes,,Yes,,Yes,Yes,,3
pasha-houston-3,Pasha,"['turkish', 'mediterranean']",29.714825,-95.413864,TX,"6100 Main St, Houston, TX 77005",1784.4172279852,4,133,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Intimate,Quiet,Beer & Wine Only,No,No,No,,Yes,Yes,,2
pinewood-café-houston-2,Pinewood Café,"['cafes', 'salad', 'burgers']",29.7168636,-95.3873062,TX,"6100 Main St, Houston, TX 77005",698.9513320953,3.5,76,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,Yes,No,Yes,No,1
woosters-garden-houston,Wooster's Garden,"['cocktailbars', 'beergardens', 'gastropubs']",29.741382,-95.379343,TX,"6100 Main St, Houston, TX 77005",2884.9828886962,4.5,51,False,No,No,No,Yes,,Late Night,Private Lot,Yes,,No,Yes,Casual,,Average,Full Bar,Yes,No,Yes,No,No,No,,2
roost-houston,Roost,['newamerican'],29.7447551787,-95.4073581845,TX,"6100 Main St, Houston, TX 77005",2935.9577172571,4,262,False,No,No,No,Yes,,Dinner,Street,Yes,,No,No,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,,Yes,No,,2
nippon-japanese-restaurant-houston,Nippon Japanese Restaurant,"['sushi', 'ramen']",29.7326908,-95.3914719,TX,"6100 Main St, Houston, TX 77005",1483.6053647066,3.5,435,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,,Yes,No,,2
eatsie-boys-houston-3,Eatsie Boys,"['sandwiches', 'foodtrucks']",29.7355003,-95.3915405,TX,"6100 Main St, Houston, TX 77005",1777.6880325975,4,69,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,No,Casual,Casual,Average,No,Yes,No,No,,No,Yes,,1
fellini-caffè-houston,Fellini Caffè,"['italian', 'coffee']",29.718862474,-95.4166339338,TX,"6100 Main St, Houston, TX 77005",1962.9180358345,4,141,False,No,No,Yes,Yes,,"Breakfast, Brunch",Street,Yes,,Yes,Yes,Casual,Trendy,Average,Beer & Wine Only,Yes,Free,No,,Yes,No,,1
luigis-pizzeria-houston,Luigi's Pizzeria,"['pizza', 'italian', 'icecream']",29.735367,-95.374622,TX,"6100 Main St, Houston, TX 77005",2704.228948417,4,578,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,Yes,,No,Yes,,1
fat-bao-houston,Fat Bao,"['asianfusion', 'ramen']",29.734695747,-95.4181373119,TX,"6100 Main St, Houston, TX 77005",2653.7721015646,4,589,False,No,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,,No,Yes,,1
sweet-paris-crêperie-and-cafe-houston,Sweet Paris Crêperie & Cafe,"['french', 'desserts', 'creperies']",29.717702,-95.415878,TX,"6100 Main St, Houston, TX 77005",1901.0634377885,4,414,False,No,Yes,Yes,Yes,No,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,Yes,,2
lowbrow-bar-and-grill-houston,Lowbrow Bar & Grill,"['bars', 'breakfast_brunch']",29.735811,-95.399492,TX,"6100 Main St, Houston, TX 77005",1773.9073702061,3.5,253,False,Yes,No,Yes,Yes,No,Brunch,"Street, Private Lot",Yes,Yes,No,Yes,Casual,Hipster,Average,Full Bar,Yes,Free,Yes,No,Yes,Yes,,2
hungrys-cafe-and-bistro-houston-9,Hungry's Cafe & Bistro,"['newamerican', 'breakfast_brunch']",29.717826,-95.413673,TX,"6100 Main St, Houston, TX 77005",1681.4292680492,3.5,252,False,Yes,Yes,Yes,Yes,,Lunch,"Valet, Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,Yes,,2
little-bigs-houston-6,Little Bigs,"['hotdog', 'burgers']",29.7306984701,-95.3909353975,TX,"6100 Main St, Houston, TX 77005",1293.1021217304,4,32,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,No,Yes,No,1
lunch-box-etc-houston,Lunch Box Etc,"['burgers', 'chicken_wings']",29.7098338,-95.4011129,TX,"6100 Main St, Houston, TX 77005",1227.071899186,4.5,6,False,No,No,Yes,Yes,No,,,No,Yes,Yes,No,Casual,,Very Loud,No,No,,Yes,,No,,No,1
paulies-houston,Paulie's,"['sandwiches', 'italian', 'coffee']",29.7428741,-95.4064255,TX,"6100 Main St, Houston, TX 77005",2703.3444631371,4,312,False,No,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,,No,Yes,,2
tacos-a-go-go-houston,Tacos A Go-Go,"['mexican', 'tex-mex']",29.7383881,-95.3798752,TX,"6100 Main St, Houston, TX 77005",2590.6548275144,4,404,False,No,No,Yes,Yes,,"Breakfast, Lunch","Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,No,No,Yes,,1
brick-and-spoon-houston,Brick & Spoon,"['breakfast_brunch', 'southern', 'cajun']",29.73903,-95.39525,TX,"6100 Main St, Houston, TX 77005",2109.615331851,3,236,False,No,No,Yes,Yes,,Brunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2
flip-n-patties-houston,Flip 'n Patties,"['burgers', 'foodtrucks']",29.7252268425,-95.4201289939,TX,"6100 Main St, Houston, TX 77005",2361.009661806,4.5,99,False,No,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,,Average,No,No,No,Yes,Yes,No,Yes,No,1
mias-houston,Mia's,"['tradamerican', 'bbq', 'burgers']",29.7372283936,-95.4173278809,TX,"6100 Main St, Houston, TX 77005",2777.5726058144,4,187,False,No,No,Yes,Yes,,Lunch,"Garage, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,No,Yes,No,2
ruggles-café-bakery-houston-2,Ruggles Café Bakery,"['tradamerican', 'bakeries', 'desserts']",29.717175,-95.414287,TX,"6100 Main St, Houston, TX 77005",1756.6984908686,3.5,386,False,No,Yes,Yes,Yes,,Dessert,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,,No,Yes,,2
common-bond-cafe-and-bakery-houston,Common Bond Cafe & Bakery,"['cafes', 'bakeries', 'breakfast_brunch']",29.7428969,-95.4023708,TX,"6100 Main St, Houston, TX 77005",2601.173284515,4,498,False,No,No,No,Yes,,"Breakfast, Brunch","Street, Private Lot",Yes,,Yes,Yes,Casual,Hipster,Average,Beer & Wine Only,Yes,No,No,No,No,No,,2
maine-ly-sandwiches-houston-3,Maine-ly Sandwiches,['sandwiches'],29.7360819,-95.4107993,TX,"6100 Main St, Houston, TX 77005",2257.3406940051,4,276,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,,No,Yes,,2
hobbit-cafe-houston,Hobbit Cafe,"['breakfast_brunch', 'gastropubs', 'vegetarian']",29.7340164,-95.4138794,TX,"6100 Main St, Houston, TX 77005",2348.4852221551,3.5,537,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,,Yes,No,,2
punks-simple-southern-food-houston,Punk's Simple Southern Food,"['southern', 'breakfast_brunch']",29.7189149,-95.4149869,TX,"6100 Main St, Houston, TX 77005",1798.9328819533,3,184,False,Yes,No,Yes,Yes,,Lunch,Valet,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,Yes,,2
empire-cafe-houston,Empire Cafe,"['coffee', 'breakfast_brunch', 'newamerican']",29.742905,-95.403542,TX,"6100 Main St, Houston, TX 77005",2629.3919009012,4,1012,False,No,No,Yes,Yes,,Brunch,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,Yes,No,No,,2
dosi-houston-2,Dosi,"['korean', 'asianfusion']",29.7404388,-95.4110351,TX,"6100 Main St, Houston, TX 77005",2667.8798556937,4,141,False,Yes,No,Yes,Yes,No,"Dinner, Late Night",Valet,No,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,No,No,Yes,No,,2
brooklyn-athletic-club-houston,Brooklyn Athletic Club,['newamerican'],29.734275,-95.387145,TX,"6100 Main St, Houston, TX 77005",1809.9518690096,3.5,174,False,Yes,No,Yes,Yes,,Dinner,"Valet, Street",No,,No,Yes,Casual,Trendy,Average,Full Bar,Yes,No,Yes,,Yes,No,,2
black-walnut-café-houston-7,Black Walnut Café,"['newamerican', 'breakfast_brunch', 'cafes']",29.7162647,-95.4150543,TX,"6100 Main St, Houston, TX 77005",1879.3189505411,3.5,278,False,No,No,Yes,Yes,,Lunch,"Garage, Street, Validated",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,No,No,Yes,,2
star-pizza-houston,Star Pizza,"['pizza', 'salad', 'italian']",29.7322903,-95.4110336,TX,"6100 Main St, Houston, TX 77005",1956.2762939383,4,439,False,No,Yes,Yes,Yes,,"Lunch, Dinner","Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,Yes,Yes,,2
luna-y-sol-mexican-grill-houston,Luna Y Sol Mexican Grill,['mexican'],29.7451191,-95.3774719,TX,"6100 Main St, Houston, TX 77005",3325.0641794096,4.5,112,False,No,Yes,Yes,Yes,No,Brunch,"Garage, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,Yes,,No,Yes,,1
the-oaks-restaurant-houston,The Oaks Restaurant,"['tradamerican', 'gluten_free']",29.7057304,-95.3957138,TX,"6100 Main St, Houston, TX 77005",1596.5354458937,4,15,False,No,No,Yes,Yes,,,Garage,No,,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,,Yes,No,,2
uchi-houston,Uchi,"['sushi', 'japanese']",29.7449303,-95.3908997,TX,"6100 Main St, Houston, TX 77005",2806.8834813085,4.5,884,False,Yes,No,No,Yes,,Dinner,Valet,Yes,,No,Yes,Dressy,Trendy,Average,Full Bar,No,No,No,,Yes,No,,4
vinoteca-poscol-houston-2,Vinoteca Poscol,"['italian', 'wine_bars']",29.7426453,-95.3997116,TX,"6100 Main St, Houston, TX 77005",2512.0193760007,4,228,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,No,Yes,Casual,Intimate,Average,Beer & Wine Only,No,No,No,,Yes,No,,2
ruggles-black-houston,Ruggles Black,"['newamerican', 'french', 'asianfusion']",29.7313269,-95.4186473,TX,"6100 Main St, Houston, TX 77005",2484.9234475573,3.5,159,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,,No,Yes,Dressy,Trendy,Average,Full Bar,Yes,No,Yes,,Yes,Yes,,3
picnic-houston,Picnic,['tradamerican'],29.7256578505,-95.4063161463,TX,"6100 Main St, Houston, TX 77005",1106.6294598521,3.5,47,False,No,No,Yes,Yes,,Lunch,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,,No,,No,,,1
