id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
le-dog-ann-arbor,Le Dog,"['hotdog', 'foodstands']",42.2791901,-83.7490005,MI,"500 S State St, Ann Arbor, MI 48109",695.9311640983,3.5,32,False,No,No,Yes,No,,Lunch,Street,Yes,Yes,Yes,No,Casual,,,No,No,,No,,No,,,1,
quickie-burger-ann-arbor-2,Quickie Burger,"['burgers', 'hotdogs']",42.2716713,-83.7408676,MI,"500 S State St, Ann Arbor, MI 48109",497.2612999476,3,38,False,No,Yes,Yes,Yes,,"Lunch, Dinner, Late Night",Street,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,,Yes,,No,No,No,1,
amers-delicatessen-ann-arbor,Amer's Delicatessen,"['coffee', 'vegetarian', 'sandwiches']",42.2788696,-83.7411575,MI,"500 S State St, Ann Arbor, MI 48109",293.0066201155,3.5,90,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,,No,Yes,,1,
dibellas-old-fashion-submarines-ann-arbor,DiBella's Old Fashion Submarines,['sandwiches'],42.2461472,-83.7579575,MI,"500 S State St, Ann Arbor, MI 48109",3496.5291348407,4,120,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,No,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,No,Yes,,1,
ali-babas-ann-arbor,Ali Baba's,"['mideastern', 'mediterranean']",42.271667,-83.74115,MI,"500 S State St, Ann Arbor, MI 48109",509.9029574386,3,59,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,,Yes,Yes,Casual,Casual,Quiet,No,Yes,,No,,Yes,,,1,
knights-steak-house-ann-arbor,Knight's Steak House,"['steak', 'tradamerican']",42.285373,-83.778099,MI,"500 S State St, Ann Arbor, MI 48109",3181.7145487981,3.5,121,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,,Yes,,,2,
mennas-joint-ann-arbor,Menna's Joint,['tradamerican'],42.2778377,-83.7446577,MI,"500 S State St, Ann Arbor, MI 48109",327.8817659639,3,21,False,No,Yes,Yes,Yes,,,Street,Yes,,No,No,Casual,Divey,Average,No,No,No,Yes,,No,No,,1,
ayaka-ann-arbor,Ayaka,"['japanese', 'sushi']",42.2750546783,-83.7343986332,MI,"500 S State St, Ann Arbor, MI 48109",586.4015415457,3,49,False,No,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,No,Casual,Trendy,Quiet,No,No,,No,,Yes,No,,2,
jimmy-johns-ann-arbor,Jimmy John's,['sandwiches'],42.271629,-83.741745,MI,"500 S State St, Ann Arbor, MI 48109",508.8877714526,3,26,False,No,Yes,Yes,Yes,,Lunch,,,Yes,Yes,Yes,Casual,,,No,No,,No,,No,,,1,
great-plains-burger-company-ann-arbor-2,Great Plains Burger Company,['burgers'],42.2979982942,-83.7201225758,MI,"500 S State St, Ann Arbor, MI 48109",3027.5280216785,3.5,91,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,,No,No,No,1,
rays-red-hots-ann-arbor,Ray's Red Hots,"['hotdog', 'foodstands']",42.273903089,-83.7356832255,MI,"500 S State St, Ann Arbor, MI 48109",530.7749221127,3,31,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,No,Yes,Yes,Casual,,Average,No,Yes,No,No,,No,Yes,,1,
the-original-cottage-inn-ann-arbor,The Original Cottage Inn,"['pizza', 'italian']",42.277641,-83.742668,MI,"500 S State St, Ann Arbor, MI 48109",191.9666923499,3.5,76,False,Yes,Yes,Yes,Yes,,"Lunch, Dinner","Garage, Street",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,No,Yes,Yes,,2,
pita-pit-ann-arbor-2,Pita Pit,"['vegan', 'vegetarian', 'hotdogs']",42.2744598,-83.7353592,MI,"500 S State St, Ann Arbor, MI 48109",527.0620019937,3.5,19,False,No,Yes,Yes,Yes,,Lunch,Street,,,Yes,Yes,Casual,Casual,Quiet,No,No,Free,Yes,,No,No,No,1,
ayses-turkish-cafe-ann-arbor,Ayse's Turkish Cafe,"['turkish', 'gluten_free']",42.2990031467,-83.7220512634,MI,"500 S State St, Ann Arbor, MI 48109",2986.2878707779,4,35,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,,Quiet,No,No,,No,,Yes,Yes,,2,
marnee-thai-restaurant-ann-arbor,Marnee Thai Restaurant,['thai'],42.277198,-83.749123,MI,"500 S State St, Ann Arbor, MI 48109",651.591811977,3,126,False,Yes,No,No,Yes,,"Lunch, Dinner","Garage, Street, Validated",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,,Yes,Yes,,2,
frasers-pub-ann-arbor,Fraser's Pub,"['newamerican', 'pubs']",42.2571487,-83.7268982,MI,"500 S State St, Ann Arbor, MI 48109",2430.4271584146,3.5,46,False,No,No,Yes,Yes,,"Lunch, Late Night",Private Lot,Yes,Yes,No,Yes,Casual,Divey,Average,Full Bar,Yes,Free,Yes,,Yes,No,,1,
blue-leprechaun-ann-arbor,Blue Leprechaun,"['bars', 'irish']",42.274776,-83.733429,MI,"500 S State St, Ann Arbor, MI 48109",610.1494536021,3.5,52,False,No,No,Yes,Yes,,Late Night,Street,Yes,Yes,No,Yes,Casual,Casual,Loud,Full Bar,No,No,Yes,,Yes,No,,2,
silvios-organic-pizza-ann-arbor,Silvio's Organic Pizza,"['pizza', 'italian', 'gluten_free']",42.278915,-83.740021,MI,"500 S State St, Ann Arbor, MI 48109",316.083802442,3.5,170,False,Yes,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,No,Yes,Yes,,2,
miki-japanese-restaurant-ann-arbor,Miki Japanese Restaurant,"['japanese', 'sushi']",42.281311,-83.7511444,MI,"500 S State St, Ann Arbor, MI 48109",983.6259435233,3.5,110,False,Yes,Yes,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,No,Yes,Yes,,2,
revive-replenish-ann-arbor,Revive + Replenish,"['sandwiches', 'grocery']",42.274181366,-83.7354049683,MI,"500 S State St, Ann Arbor, MI 48109",490.1385341811,3,31,False,No,No,Yes,Yes,,Lunch,Street,,,No,No,Casual,,Loud,No,Yes,Free,No,,No,No,,1,
curry-on-ann-arbor,Curry On,"['indpak', 'gluten_free']",42.302647,-83.706594,MI,"500 S State St, Ann Arbor, MI 48109",4096.1472627405,4,71,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,No,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,No,No,,1,
enorme-johnsons-gourmet-street-cuisine-ann-arbor,Enorme Johnson's Gourmet Street Cuisine,['hotdog'],42.27923,-83.742303,MI,"500 S State St, Ann Arbor, MI 48109",342.6271672146,5,2,False,,,,,,,,,,,,,,,,,,,,,,,,
rub-bbq-pub-ann-arbor,Rub BBQ Pub,"['bbq', 'pubs']",42.271122,-83.7410812,MI,"500 S State St, Ann Arbor, MI 48109",596.8851551226,2.5,55,False,Yes,No,Yes,Yes,,"Lunch, Dinner, Late Night",Street,,,No,Yes,Casual,Casual,Loud,Full Bar,No,Free,Yes,,Yes,Yes,,2,
good-time-charleys-ann-arbor,Good Time Charleys,"['newamerican', 'pubs']",42.2747917,-83.7348328,MI,"500 S State St, Ann Arbor, MI 48109",556.5071535274,3.5,96,False,Yes,No,Yes,Yes,,Late Night,Street,Yes,Yes,No,Yes,Casual,Casual,Very Loud,Full Bar,Yes,No,Yes,,Yes,No,,2,
noodles-and-company-ann-arbor-2,Noodles & Company,"['asianfusion', 'comfortfood', 'italian']",42.2786293,-83.7411499,MI,"500 S State St, Ann Arbor, MI 48109",266.160431064,3,38,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Street,,Yes,Yes,Yes,Casual,,Average,No,No,No,No,,Yes,Yes,,1,
the-earle-ann-arbor,The Earle,"['wine_bars', 'french', 'italian']",42.2804539651,-83.7489107251,MI,"500 S State St, Ann Arbor, MI 48109",834.831556002,3.5,172,False,Yes,No,No,Yes,No,Dinner,"Garage, Street",Yes,Yes,No,Yes,Dressy,Intimate,Average,Full Bar,Yes,Free,No,No,Yes,No,,3,
